Name,State,Latitude,Longitude,Status,Commodity Group
Merlin,Queensland,-21.653303,140.493067,Care and maintenance,"Base metals - Zn, Pb (Cu, Ag)"
Metropolitan,New South Wales,-34.184912,150.996569,Operating,Coal
Middleback Ranges,South Australia,-32.998,137.156,Operating,Iron ore
Middlemount,Queensland,-22.848131,148.631626,Operating,Coal
Miitel,Western Australia,-31.6278,121.6613,Care and maintenance,"Battery/alloy metals - Ni, Co, Mn, V, Mo, Mg"
Millennium and Mavis Downs,Queensland,-22.025,148.213,Operating,Coal
Mindarie,South Australia,-34.795,140.2075,Care and maintenance,"Heavy mineral sands - Ti, Zr"
Mindijup,Western Australia,-34.7689,118.0768,Operating,"High-purity elements - Al, Si"
Mineral Hill,New South Wales,-32.5755,146.9871,Operating,"Base metals - Cu (Zn, Pb, Ag, Au)"
Minerva,Queensland,-23.921376,148.047135,Operating,Coal
Mining Area C,Western Australia,-22.92817,118.96431,Operating,Iron ore
Molyhil,Northern Territory,-22.757085,135.749305,Developing Mine,"Battery/alloy metals - Ni, Co, Mn, V, Mo, Mg"
Monty,Western Australia,-25.559468,119.434427,Operating,"Base metals - Cu (Zn, Pb, Ag, Au)"
Moolarben,New South Wales,-32.29,149.785,Operating,Coal
Moolart Well,Western Australia,-27.6112,122.3479,Operating,"Precious metals - Au, Ag"
Moorvale,Queensland,-21.995517,148.35358,Operating,Coal
Moranbah North,Queensland,-21.871331,147.956742,Operating,Coal
Morningstar,Victoria,-37.5686,146.2456,Operating,"Precious metals - Au, Ag"
Mount Boppy,New South Wales,-31.5618,146.3161,Operating,"Precious metals - Au, Ag"
Mount Carbine,Queensland,-16.518296,145.131875,Operating,"Other metals - Sn, W, Ta"
Mount Carlton,Queensland,-20.2716,147.5619,Operating,"Base metals - Cu (Zn, Pb, Ag, Au)"
Mount Cattlin,Western Australia,-33.56241,120.038002,Operating,Lithium
Mount Colin,Queensland,-20.7759,140.0445,Operating,"Base metals - Cu (Zn, Pb, Ag, Au)"
Mount Garnet,Queensland,-17.6849,145.1126,Operating,"Base metals - Zn, Pb (Cu, Ag)"
Mount Holland,Western Australia,-32.087573,119.74847,Developing Mine,Lithium
Mount Isa Copper,Queensland,-20.743392,139.478345,Operating,"Base metals - Cu (Zn, Pb, Ag, Au)"
Mount Keith,Western Australia,-27.229599,120.54174,Operating,"Battery/alloy metals - Ni, Co, Mn, V, Mo, Mg"
Mount Lindsay,Tasmania,-41.69731,145.32857,Developing Mine,"Other metals - Sn, W, Ta"
Mount Lyell,Tasmania,-42.061,145.5855,Care and maintenance,"Base metals - Cu (Zn, Pb, Ag, Au)"
Mount Magnet,Western Australia,-28.0602,117.7834,Operating,"Precious metals - Au, Ag"
Mount Marion,Western Australia,-31.0738,121.4611,Operating,Lithium
Mount Moss,Queensland,-19.085818,145.84711,Care and maintenance,Iron ore
Mount Newman,Western Australia,-23.355737,119.677787,Operating,Iron ore
Mount Owen,New South Wales,-32.38684,151.099981,Operating,Coal
Mount Oxide,Queensland,-19.47865,139.388303,Care and maintenance,"Battery/alloy metals - Ni, Co, Mn, V, Mo, Mg"
Mount Peake,Northern Territory,-21.637,133.286,Developing Mine,"Battery/alloy metals - Ni, Co, Mn, V, Mo, Mg"
Mount Rawdon,Queensland,-25.2713,151.7641,Operating,"Precious metals - Au, Ag"
Mount Thorley,New South Wales,-32.63741,151.108624,Operating,Coal
Mount Tom Price,Western Australia,-22.76352,117.771357,Operating,Iron ore
Mount Watson,Queensland,-19.771708,139.888765,Operating,"Base metals - Cu (Zn, Pb, Ag, Au)"
Mount Webber,Western Australia,-21.537,119.289,Operating,Iron ore
Mount Weld,Western Australia,-28.859949,122.547523,Operating,Rare earth elements (REE)
Mountain of Light,South Australia,-30.578933,138.451284,Care and maintenance,"Base metals - Cu (Zn, Pb, Ag, Au)"
Mulga Rock,Western Australia,-29.904345,123.592004,Developing Mine,Uranium
Munglinup,Western Australia,-33.66352,120.858621,Developing Mine,Graphite
Murrawombie,New South Wales,-31.2586,146.8719,Operating,"Base metals - Cu (Zn, Pb, Ag, Au)"
